"id","URL","pled","goal","date","period","status","text_am","n_img","n_vid","n_pled_t","min_pled_t","max_pled_t","mean_pled_t","step_pled_t","cr_time","backed","created","site","rpg","platformer","shooter","fighting","survival","horror","strategy","arcade","simulator","mmo","indie","action","quest","adventure","mgp","cont","curr","success","is_site"
"8438","https://www.kickstarter.com/projects/577038691/strategy-rpg-staring-you",16.37,16368,"2013-12-01",14,"ended",355,7,0,8,1.64,8184,1206.32125,1168.90857142857,16,0,0,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.653856,0.276951652368435,"GBP",0,0
"3182","https://www.kickstarter.com/projects/2000479544/blackwake-reboot",124761.28,7278.02,"2015-08-03",30,"ended",2218,33,3,5,3.64,99.71,43.96,24.0175,592,3,1,"blackwake.com",0,0,1,0,0,0,1,0,0,0,0,1,0,0,6.105621,0.220415218262664,"AUD",1,1
"7977","https://www.kickstarter.com/projects/85660245/fish-vs-crabs-tower-defense-0",1211,35000,"2013-04-12",31,"ended",3174,19,3,13,5,1000,312.692307692308,82.9166666666667,253,2,0,"swiftcreekgames.com",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.556285,0.289384152340405,"USD",0,1
"1270","https://www.kickstarter.com/projects/1933932217/finish-port-of-xbox-game-to-ios",1,10000,"2013-11-13",14,"ended",110,0,0,3,25,1000,425,487.5,195,0,0,"hobbisoft.com",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USD",0,1
"6312","https://www.kickstarter.com/projects/1481023416/stellar-tactics-sci-fi-rpg",5415,67000,"2016-04-25",30,"ended",3955,46,1,15,1,1000,165.866666666667,71.3571428571429,20,3,0,"stellartactics.com",1,0,0,1,0,0,1,0,0,0,0,1,0,1,5.987628,0.256331766703932,"USD",0,1
"3483","https://www.kickstarter.com/projects/socalmike/retro-video-game-magazine-year-two",50832,20000,"2014-10-18",30,"ended",1124,34,1,23,1,1500,269.217391304348,68.1363636363636,880,13,1,"readretro.com",0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.843284,0.329026277931322,"USD",1,1
"3626","https://www.kickstarter.com/projects/660810230/fire-with-fire-online-tower-attack-and-defense-0",10462,10000,"2014-07-14",27,"ended",1539,13,1,12,1,350,61.8333333333333,31.7272727272727,819,20,1,"firewithfiregame.com",0,0,0,0,0,0,1,0,0,0,1,1,0,0,4.930404,0.303178866446008,"USD",1,1
"2123","https://www.kickstarter.com/projects/906470271/critique-update-and-expansion-of-warks-gamer-theor",590,5000,"2016-04-18",30,"ended",968,5,0,5,5,100,51,23.75,4,11,0,"smashthegamestate.com",1,0,1,0,1,0,0,1,1,0,1,0,0,0,1.2648,0.376759446628845,"USD",0,1
"6577","https://www.kickstarter.com/projects/projectmoon/lobotomy-corporation-monster-management-rogue-lite",3303,40000,"2016-02-27",35,"ended",2555,63,1,12,15,5000,625,453.181818181818,36,0,0,"lobotomycorp.kr",0,0,0,0,0,0,0,0,0,0,1,1,1,0,11.33625,0.325475551612659,"USD",0,1
"242","https://www.kickstarter.com/projects/1189019850/competitive-underground-gaming",2,10000,"2016-03-23",60,"ended",113,0,0,2,1,20,10.5,19,11,0,0,"cugleague.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USD",0,1
"5921","https://www.kickstarter.com/projects/818101582/olis-world",881,80000,"2015-04-19",40,"ended",2421,28,0,10,1,1500,317.6,166.555555555556,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02264,0.164897990216216,"USD",0,0
"8067","https://www.kickstarter.com/projects/956066601/fields-of-trinovantes",0,660000,"2013-06-22",10,"ended",845,3,0,9,1,5000,1015.66666666667,624.875,39,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9758,0.179476463709078,"USD",0,0
"6166","https://www.kickstarter.com/projects/matterdaddy/wasdiotm-the-pc-game-controller-for-action-games",39284,175000,"2012-11-15",47,"ended",1328,9,0,9,1,1000,226.111111111111,124.875,188,2,0,"matterdaddy.com",1,0,1,0,0,0,0,0,0,0,1,1,0,1,1.039004,0.287099866760561,"USD",0,1
"8221","https://www.kickstarter.com/projects/866465046/legendandmai-gaming",17,500,"2015-01-22",30,"ended",285,0,0,18,1,200,59.8888888888889,11.7058823529412,212,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USD",0,0
"8653","https://www.kickstarter.com/projects/burningdog/epically-large-battles-sandbox-baked-goodness",1885,1200000,"2012-10-24",45,"ended",1076,22,0,16,5,10000,1369.375,666.333333333333,421,0,0,"originsofmalu.com",0,0,0,1,0,0,0,0,0,1,1,1,0,0,7.949411,0.352741917757178,"USD",0,1
"4568","https://www.kickstarter.com/projects/boredomsproducts/ehsc-is-looking-for-a-programmer-at-gdc",501,500,"2012-02-14",31,"ended",590,0,0,5,15,250,88,58.75,756,0,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"USD",1,0
